Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
David Montgomery,MontDa01,RB,8,CHI,0,0,0,0,0,0,0,0,,15,53,0,10,3,3,22,0,13,1,1,55,70%,
Velus Jones Jr.,JoneVe00,WR,8,CHI,0,0,0,0,0,0,0,0,,2,33,0,18,3,1,5,0,5,0,0,15,19%,
Darnell Mooney,MoonDa00,WR,8,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,70,0,36,0,0,68,86%,
N'Keal Harry,HarrNK00,WR,8,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,1,17,0,0,50,63%,
Dante Pettis,PettDa00,WR,8,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,18,0,12,0,0,42,53%,
Cole Kmet,KmetCo00,TE,8,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,1,10,0,0,75,95%,
Equanimeous St. Brown,St.BEq00,WR,8,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0,25,32%,
Trestan Ebner,EbneTr00,RB,8,CHI,0,0,0,0,0,0,0,0,,2,-5,0,3,0,0,0,0,0,0,0,3,4%,
Dak Prescott,PresDa01,QB,8,DAL,21,27,250,2,1,1,8,30,114.5,5,34,1,25,0,0,0,0,0,0,0,58,100%,
Tony Pollard,PollTo00,RB,8,DAL,0,0,0,0,0,0,0,0,,14,131,3,54,1,1,16,0,16,0,0,31,53%,
Malik Davis,DaviMa02,RB,8,DAL,0,0,0,0,0,0,0,0,,8,23,0,8,2,2,18,0,10,0,0,19,33%,
KaVontae Turpin,TurpKa00,WR,8,DAL,0,0,0,0,0,0,0,0,,1,11,0,11,0,0,0,0,0,0,0,6,10%,
CeeDee Lamb,LambCe00,WR,8,DAL,0,0,0,0,0,0,0,0,,1,1,0,1,7,5,77,1,22,0,0,49,84%,
Dalton Schultz,SchuDa00,TE,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,74,0,30,0,0,41,71%,
Michael Gallup,GallMi00,WR,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,49,0,17,0,0,49,84%,
Peyton Hendershot,HendPe01,TE,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,11,0,0,21,36%,
Jake Ferguson,FergJa00,TE,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,32,55%,
Tua Tagovailoa,TagoTu00,QB,8,MIA,29,36,382,3,0,2,13,42,138.7,5,19,0,18,0,0,0,0,0,0,0,68,100%,
Raheem Mostert,MostRa00,RB,8,MIA,0,0,0,0,0,0,0,0,,14,64,0,13,1,1,3,0,3,0,0,44,65%,
Chase Edmonds,EdmoCh00,RB,8,MIA,0,0,0,0,0,0,0,0,,4,14,0,8,0,0,0,0,0,0,0,16,24%,
Tyreek Hill,HillTy00,WR,8,MIA,0,0,0,0,0,0,0,0,,1,7,0,7,14,12,188,0,42,0,0,49,72%,
Salvon Ahmed,AhmeSa01,RB,8,MIA,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,3,4%,
Alec Ingold,IngoAl01,FB,8,MIA,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,5,0,5,0,0,27,40%,
Jaylen Waddle,WaddJa00,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,106,2,29,0,0,52,76%,
Mike Gesicki,GesiMi00,TE,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,1,20,0,0,31,46%,
Trent Sherfield,SherTr00,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,14,0,0,40,59%,
Braylon Sanders,SandBr00,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,13,1,1,14,21%,
Cedrick Wilson Jr.,WilsCe01,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,14,21%,
Jared Goff,GoffJa00,QB,8,DET,27,37,321,1,0,1,10,58,108.1,1,3,0,3,1,1,5,0,5,0,0,60,100%,
Jamaal Williams,WillJa06,RB,8,DET,0,0,0,0,0,0,0,0,,10,53,2,15,3,3,23,0,10,0,0,22,37%,
Craig Reynolds,ReynCr00,RB,8,DET,0,0,0,0,0,0,0,0,,2,7,0,5,1,0,0,0,0,0,0,5,8%,
D'Andre Swift,SwifDA00,RB,8,DET,0,0,0,0,0,0,0,0,,5,6,0,7,5,5,27,1,8,0,0,33,55%,
T.J. Hockenson,HockTJ00,TE,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,80,0,58,0,0,52,87%,
Kalif Raymond,RaymKa00,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,76,0,43,0,0,54,90%,
Amon-Ra St. Brown,StxxAm00,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,69,0,21,0,0,57,95%,
Josh Reynolds,ReynJo00,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,14,0,9,0,0,48,80%,
James Mitchell,MitcJa00,TE,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,5,8%,
Maurice Alexander,AlexMa02,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,1,2%,
Brock Wright,WrigBr01,TE,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,23,38%,
Kyler Murray,MurrKy00,QB,8,ARI,31,44,326,3,2,4,29,38,95.5,6,36,0,8,0,0,0,0,0,1,0,78,100%,
Eno Benjamin,BenjEn00,RB,8,ARI,0,0,0,0,0,0,0,0,,9,22,0,7,7,4,23,0,15,0,0,58,74%,
Rondale Moore,MoorRo02,WR,8,ARI,0,0,0,0,0,0,0,0,,2,12,0,9,8,7,92,1,38,0,0,77,99%,
Darrel Williams,WillDa10,RB,8,ARI,0,0,0,0,0,0,0,0,,5,8,0,5,3,2,6,0,6,0,0,21,27%,
DeAndre Hopkins,HopkDe00,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,159,1,33,0,0,78,100%,
Zach Ertz,ErtzZa00,TE,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,1,13,0,0,69,88%,
Greg Dortch,DortGr01,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,8,1,1,20,26%,
A.J. Green,GreeA.00,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,37,47%,
Robbie Anderson,AndeRo04,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,7,9%,
Kirk Cousins,CousKi00,QB,8,MIN,24,36,232,2,0,3,24,29,103,4,22,1,17,0,0,0,0,0,1,1,71,100%,
Dalvin Cook,CookDa01,RB,8,MIN,0,0,0,0,0,0,0,0,,20,111,1,30,6,5,30,0,11,0,0,54,76%,
Alexander Mattison,MattAl01,RB,8,MIN,0,0,0,0,0,0,0,0,,5,40,1,15,0,0,0,0,0,0,0,17,24%,
Justin Jefferson,JeffJu00,WR,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,98,0,29,0,0,70,99%,
Adam Thielen,ThieAd00,WR,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,67,0,18,0,0,62,87%,
Irv Smith Jr.,SmitIr01,TE,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,11,0,0,34,48%,
K.J. Osborn,OsboKJ00,WR,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,1,5,0,0,57,80%,
Johnny Mundt,MundJo00,TE,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,43,61%,
Derek Carr,CarrDe02,QB,8,LVR,15,26,101,0,1,3,20,14,50.3,1,-1,0,-1,0,0,0,0,0,0,0,44,76%,
Jarrett Stidham,StidJa00,QB,8,LVR,8,13,72,0,0,1,8,18,76.4,0,0,0,0,0,0,0,0,0,0,0,14,24%,
Josh Jacobs,JacoJo01,RB,8,LVR,0,0,0,0,0,0,0,0,,10,43,0,16,4,2,11,0,11,0,0,32,55%,
Mack Hollins,HollMa00,WR,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,64,0,14,0,0,53,91%,
Foster Moreau,MoreFo00,TE,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,31,0,12,0,0,58,100%,
Keelan Cole,ColeKe00,WR,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,30,0,18,0,0,18,31%,
Ameer Abdullah,AbduAm00,RB,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,28,0,10,0,0,20,34%,
Hunter Renfrow,RenfHu00,WR,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,46,79%,
Jesper Horsted,HorsJe00,TE,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,2,3%,
Davante Adams,AdamDa01,WR,8,LVR,0,0,0,0,0,0,0,0,,1,-1,0,-1,5,1,3,0,3,0,0,42,72%,
Andy Dalton,DaltAn00,QB,8,NOR,22,30,229,2,0,0,0,36,117.2,0,0,0,0,0,0,0,0,0,0,0,54,84%,
Taysom Hill,HillTa00,TE,8,NOR,1,1,2,0,0,0,0,2,79.2,10,61,0,11,2,1,11,0,11,0,0,23,36%,
Alvin Kamara,KamaAl00,RB,8,NOR,0,0,0,0,0,0,0,0,,18,62,1,9,10,9,96,2,36,0,0,46,72%,
Dwayne Washington,WashDw00,RB,8,NOR,0,0,0,0,0,0,0,0,,4,13,0,4,0,0,0,0,0,0,0,13,20%,
Chris Olave,OlavCh00,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,52,0,14,0,0,37,58%,
Rashid Shaheed,ShahRa00,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,0,30,0,0,15,23%,
Juwan Johnson,JohnJu02,TE,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,8,0,0,47,73%,
Marquez Callaway,CallMa01,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,21,33%,
Nick Vannett,VannNi00,TE,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,37,58%,
Mark Ingram,IngrMa01,RB,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,5,8%,
Tre'Quan Smith,SmitTr03,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,38,59%,
Mac Jones,JoneMa05,QB,8,NWE,24,35,194,1,1,6,33,22,79.9,7,19,0,12,0,0,0,0,0,1,0,78,100%,
Rhamondre Stevenson,StevRh00,RB,8,NWE,0,0,0,0,0,0,0,0,,16,71,0,35,7,7,72,0,22,0,0,49,63%,
Damien Harris,HarrDa06,RB,8,NWE,0,0,0,0,0,0,0,0,,11,37,0,11,2,2,15,0,8,0,0,32,41%,
Jakobi Meyers,MeyeJa01,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,60,1,16,0,0,63,81%,
Hunter Henry,HenrHu00,TE,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0,50,64%,
Tyquan Thornton,ThorTy00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0,61,78%,
Jonnu Smith,SmitJo01,TE,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,10,0,7,0,0,50,64%,
Nelson Agholor,AghoNe00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,19,24%,
Kendrick Bourne,BourKe00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,54,69%,
DeVante Parker,ParkDe01,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,1%,
Zach Wilson,WilsZa00,QB,8,NYJ,20,41,355,2,3,2,19,63,64.6,1,2,0,2,0,0,0,0,0,0,0,59,100%,
Michael Carter,CartMi03,RB,8,NYJ,0,0,0,0,0,0,0,0,,7,26,0,11,7,4,35,0,17,0,0,33,56%,
James Robinson,RobiJa00,RB,8,NYJ,0,0,0,0,0,0,0,0,,5,17,0,7,1,0,0,0,0,0,0,13,22%,
Ty Johnson,JohnTy02,RB,8,NYJ,0,0,0,0,0,0,0,0,,2,6,0,4,2,0,0,0,0,0,0,19,32%,
Garrett Wilson,WilsGa00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,115,0,54,0,0,52,88%,
Tyler Conklin,ConkTy00,TE,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,79,2,27,0,0,44,75%,
Denzel Mims,MimsDe00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,76,0,63,0,0,44,75%,
C.J. Uzomah,UzomC.00,TE,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,27,0,27,0,0,37,63%,
Jeff Smith,SmitJe03,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0,13,22%,
