Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
D'Andre Swift,SwifDA00,RB,8,DET,0,0,0,0,0,0,0,0,,5,6,0,7,5,5,27,1,8,0,0,33,55%,14.3
T.J. Hockenson,HockTJ00,TE,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,80,0,58,0,0,52,87%,11
Kalif Raymond,RaymKa00,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,76,0,43,0,0,54,90%,10.6
Amon-Ra St. Brown,StxxAm00,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,69,0,21,0,0,57,95%,13.9
Josh Reynolds,ReynJo00,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,14,0,9,0,0,48,80%,3.4
James Mitchell,MitcJa00,TE,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,5,8%,2.4
Maurice Alexander,AlexMa02,WR,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,1,2%,1.7
Brock Wright,WrigBr01,TE,8,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,23,38%,1.6
Kyler Murray,MurrKy00,QB,8,ARI,31,44,326,3,2,4,29,38,95.5,6,36,0,8,0,0,0,0,0,1,0,78,100%,29.64
Eno Benjamin,BenjEn00,RB,8,ARI,0,0,0,0,0,0,0,0,,9,22,0,7,7,4,23,0,15,0,0,58,74%,8.5
Rondale Moore,MoorRo02,WR,8,ARI,0,0,0,0,0,0,0,0,,2,12,0,9,8,7,92,1,38,0,0,77,99%,23.4
Darrel Williams,WillDa10,RB,8,ARI,0,0,0,0,0,0,0,0,,5,8,0,5,3,2,6,0,6,0,0,21,27%,3.4
DeAndre Hopkins,HopkDe00,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,159,1,33,0,0,78,100%,36.9
Zach Ertz,ErtzZa00,TE,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,1,13,0,0,69,88%,13.4
Greg Dortch,DortGr01,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,8,1,1,20,26%,2.2
A.J. Green,GreeA.00,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,37,47%,0
Robbie Anderson,AndeRo04,WR,8,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,7,9%,0
Kirk Cousins,CousKi00,QB,8,MIN,24,36,232,2,0,3,24,29,103,4,22,1,17,0,0,0,0,0,1,1,71,100%,24.48
