Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Garrett Wilson,5,4,3,27,56,0,Garrett Wilson,6,5,1,8,44,0,Garrett Wilson,7,4,4,24,73,0,4.0,3.0,36.0,55.0,0.0
Elijah Moore,3,9,4,49,94,0,Elijah Moore,4,4,3,53,90,0,Elijah Moore,5,4,1,11,66,0,7.0,4.0,55.0,89.0,0.0
Braxton Berrios,3,1,0,0,31,0,Braxton Berrios,6,1,1,6,29,0,Braxton Berrios,7,4,3,15,56,0,2.0,2.0,21.0,39.0,0.0
Christian Kirk,5,3,1,11,96,0,Christian Kirk,6,5,4,24,92,1,Christian Kirk,7,10,7,96,94,0,7.0,4.0,57.0,88.0,0.0
Zay Jones,5,8,3,12,80,0,Zay Jones,6,5,5,42,98,0,Zay Jones,7,10,4,54,99,0,8.0,5.0,61.0,87.0,0.0
Marvin Jones,4,1,0,0,91,0,Marvin Jones,5,11,7,104,87,0,Marvin Jones,7,8,4,57,56,0,7.0,4.0,67.0,85.0,0.0
Curtis Samuel,5,8,6,62,90,0,Curtis Samuel,6,5,2,6,86,0,Curtis Samuel,7,8,5,53,77,0,7.0,5.0,56.0,86.0,0.0
Terry McLaurin,5,6,5,76,98,0,Terry McLaurin,6,4,3,41,98,0,Terry McLaurin,7,8,5,73,95,1,7.0,5.0,58.0,95.0,0.0
Jahan Dotson,2,5,4,59,99,1,Jahan Dotson,3,8,2,10,87,0,Jahan Dotson,4,4,3,43,59,1,7.0,5.0,62.0,90.0,0.0
JuJu Smith-Schuster,5,8,3,33,86,0,JuJu Smith-Schuster,6,5,5,113,88,1,JuJu Smith-Schuster,7,8,7,124,55,1,6.0,3.0,49.0,87.0,0.0
Mecole Hardman,5,5,4,73,40,0,Mecole Hardman,6,4,3,42,45,1,Mecole Hardman,7,4,4,32,63,1,4.0,2.0,29.0,52.0,0.0
Marquez Valdes-Scantling,5,8,6,90,81,0,Marquez Valdes-Scantling,6,3,0,0,82,0,Marquez Valdes-Scantling,7,4,3,111,55,0,6.0,4.0,47.0,82.0,0.0
Greg Dortch,3,10,9,80,81,0,Greg Dortch,4,1,1,6,36,0,Greg Dortch,7,1,1,5,53,1,5.0,3.0,30.0,63.0,0.0
Marquise Brown,4,11,6,88,93,1,Marquise Brown,5,10,8,78,97,1,Marquise Brown,6,9,5,68,96,0,9.0,5.0,69.0,95.0,0.0
A.J. Green,3,2,0,0,34,0,A.J. Green,5,5,3,20,72,0,A.J. Green,6,4,2,7,69,0,5.0,4.0,44.0,59.0,0.0
